Word;French Translation;English Definition;Example Sentence
recover;récupérer / se rétablir;return to a normal state of health or get back;Police were unable to recover the stolen paintings.
recover;récupérer / se rétablir;return to a normal state of health or get back;The economy is starting to recover after the recession.
release;relâcher / publier / sortir;to allow or enable; to set free;The band will release their new album next Friday.
release;relâcher / publier / sortir;to allow or enable; to set free;He refused to release my hand until I promised to stay.
release;relâcher / publier / sortir;to allow or enable; to set free;The factory accidentally released toxic gas into the air.
shift;déplacer / changer;move or cause to move from one place to another;The wind began to shift to the north, bringing colder weather.
shift;déplacer / changer;move or cause to move from one place to another;He tried to shift the blame onto his colleague, but no one believed him.
shift;déplacer / changer;move or cause to move from one place to another;We need to shift the furniture to make room for the new sofa.
surpass;dépasser / surmonter;to exceed or be greater than;The quarterly sales figures surpassed all our expectations.
surpass;dépasser / surmonter;to exceed or be greater than;Her performance surpassed that of the previous world champion.
surpass;dépasser / surmonter;to exceed or be greater than;The beauty of the landscape surpassed anything I had ever seen.
entirely;totalement / entièrement;completely (used for emphasis);I admit that the mistake was entirely my fault.
entirely;totalement / entièrement;completely (used for emphasis);The two sisters have entirely different personalities.
entirely;totalement / entièrement;completely (used for emphasis);I am not entirely convinced that this is the best solution.
freshly;fraîchement / nouvellement;newly, recently;The bakery smells wonderful because of the freshly baked bread.
freshly;fraîchement / nouvellement;newly, recently;Be careful not to touch the wall; it is freshly painted.
freshly;fraîchement / nouvellement;newly, recently;She arrived at the meeting freshly showered and dressed in a new suit.
obviously;évidemment;in a way that is easily perceived or understood; clearly;She was obviously tired, as she kept yawning during dinner.
obviously;évidemment;in a way that is easily perceived or understood; clearly;Obviously, we cannot finish this project without more funding.
obviously;évidemment;in a way that is easily perceived or understood; clearly;He is obviously the best player on the team.
predictably;de façon prévisible;in a way that can be predicted; as expected;Predictably, the traffic was terrible on the Friday before the holiday.
predictably;de façon prévisible;in a way that can be predicted; as expected;The movie ended predictably with the hero saving the day.
predictably;de façon prévisible;in a way that can be predicted; as expected;He reacted predictably to the bad news by getting angry.
extinguish;éteindre;to cease to burn or shine;Please extinguish your cigarettes before entering the building.
extinguish;éteindre;to cease to burn or shine;It took firefighters three hours to extinguish the blaze.
extinguish;éteindre;to cease to burn or shine;Nothing could extinguish her hope that he would return one day.
instigate;susciter / inciter;to bring about or initiate something (often negative);He was accused of trying to instigate a riot among the prisoners.
instigate;susciter / inciter;to bring about or initiate something (often negative);Social media can sometimes instigate conflict between groups of people.
instigate;susciter / inciter;to bring about or initiate something (often negative);The government initiated a program to instigate economic growth.
relinquish;renoncer à / céder;to give up something voluntarily;He was forced to relinquish control of the company to his partners.
relinquish;renoncer à / céder;to give up something voluntarily;She refused to relinquish her claim to the inheritance.
relinquish;renoncer à / céder;to give up something voluntarily;The king decided to relinquish the throne in favor of his son.
work out;faire du sport / résoudre / se passer;to exercise OR to solve OR to result;I try to work out at the gym at least three times a week.
work out;faire du sport / résoudre / se passer;to exercise OR to solve OR to result;Don't worry about the details; we will work out a solution together.
work out;faire du sport / résoudre / se passer;to exercise OR to solve OR to result;Everything worked out well in the end, despite the initial problems.
chiefly;principalement / surtout;mainly, mostly, or above all;The house is built chiefly of timber and stone.
chiefly;principalement / surtout;mainly, mostly, or above all;He is remembered chiefly for his contributions to medical science.
chiefly;principalement / surtout;mainly, mostly, or above all;Our customers are chiefly young professionals living in the city.
exceedingly;extrêmement;to a great extent;The instructions for this device are exceedingly complicated.
exceedingly;extrêmement;to a great extent;She was exceedingly polite to the guests despite being tired.
exceedingly;extrêmement;to a great extent;It is exceedingly rare to find this species of bird in the wild.
instantaneous;instantané;done or happening in an instant or immediately;The effect of the medicine was almost instantaneous; the pain stopped.
instantaneous;instantané;done or happening in an instant or immediately;Modern technology allows for instantaneous communication across the globe.
instantaneous;instantané;done or happening in an instant or immediately;The bomb caused instantaneous destruction of the building.
deceptively;trompeusement / faussement;in a way that gives a misleading impression;The exam looked deceptively simple, but it was actually very hard.
deceptively;trompeusement / faussement;in a way that gives a misleading impression;The water is deceptively deep here, so be careful if you swim.
deceptively;trompeusement / faussement;in a way that gives a misleading impression;He is deceptively fast for someone of his size.
petition;pétition;a written request to appeal for a cause;Residents signed a petition to stop the construction of the new highway.
petition;pétition;a written request to appeal for a cause;She filed a petition for divorce after ten years of marriage.
petition;pétition;a written request to appeal for a cause;They presented the petition to the mayor during the town hall meeting.
shed;abri / cabane / hangar;a wood or metal structure used for storage;We keep the lawnmower and the gardening tools in the shed.
shed;abri / cabane / hangar;a wood or metal structure used for storage;He spent the weekend painting the garden shed.
shed;abri / cabane / hangar;a wood or metal structure used for storage;The old shed in the backyard is falling down and needs to be repaired.
