Word;French Translation;English Definition;Example Sentence
erratic;inégal / irrégulier / imprévisible;in a way that is not regular, certain or expected;His breathing became erratic after running the marathon.
erratic;inégal / irrégulier / imprévisible;in a way that is not regular, certain or expected;Because of her erratic work schedule, it is hard to plan meetings with her.
genuine;véritable / authentique;real, honest, sincere;This purse is made of genuine leather, not plastic.
genuine;véritable / authentique;real, honest, sincere;She showed genuine concern for the homeless people in her community.
genuine;véritable / authentique;real, honest, sincere;I think he is a genuine person; what you see is what you get.
mammoth;colossal / titanesque;huge, very big;Cleaning up the ocean is a mammoth task that requires international cooperation.
mammoth;colossal / titanesque;huge, very big;The construction company built a mammoth shopping mall in the center of the city.
mammoth;colossal / titanesque;huge, very big;The mammoth corporation bought out all its smaller competitors.
overbearing;autoritaire / dominateur;telling other people what to do in an excessively authoritarian manner;I moved out because I couldn't handle my overbearing father anymore.
overbearing;autoritaire / dominateur;telling other people what to do in an excessively authoritarian manner;Her boss has an overbearing management style that makes everyone nervous.
overbearing;autoritaire / dominateur;telling other people what to do in an excessively authoritarian manner;The heat in the desert can be overbearing during the middle of the day.
prime;premier / principal / de choix;main, most important or best quality;The prime minister will give a speech tonight regarding the economy.
prime;premier / principal / de choix;main, most important or best quality;The police consider him the prime suspect in the robbery case.
prime;premier / principal / de choix;main, most important or best quality;This restaurant serves prime cuts of steak that are incredibly tender.
rudimentary;rudimentaire / élémentaire;basic;The tribe only had rudimentary tools made of stone and wood.
rudimentary;rudimentaire / élémentaire;basic;He has only a rudimentary grasp of French, so he struggles to order food.
rudimentary;rudimentaire / élémentaire;basic;The shelter provided was rudimentary, offering only a roof and a dirt floor.
derive;extraire / dériver / tirer;to obtain something from something else;Many modern medicines are derived from rare plants found in the rainforest.
derive;extraire / dériver / tirer;to obtain something from something else;He derives a lot of pleasure from painting landscapes on the weekend.
derive;extraire / dériver / tirer;to obtain something from something else;The word 'democracy' derives from the Greek language.
disperse;disperser / diffuser;to spread over a large area;The seeds of this flower are light enough for the wind to disperse them.
disperse;disperser / diffuser;to spread over a large area;The fog began to disperse as soon as the sun came up.
disperse;disperser / diffuser;to spread over a large area;Police used tear gas to disperse the violent protesters.
eliminate;éliminer / faire disparaître;to remove or take away;The doctor told him to eliminate sugar from his diet to improve his health.
eliminate;éliminer / faire disparaître;to remove or take away;Our team was eliminated from the tournament in the semi-finals.
eliminate;éliminer / faire disparaître;to remove or take away;New technology creates jobs, but it can also eliminate old ones.
encircle;encercler / entourer;to surround, make a circle around something;Tall medieval walls encircle the old town, protecting its history.
encircle;encercler / entourer;to surround, make a circle around something;The enemy troops tried to encircle the base and cut off supplies.
encircle;encercler / entourer;to surround, make a circle around something;A beautiful gold chain encircled her neck.
engender;engendrer / susciter;to make something exist (feeling or situation);His rude comments engendered a lot of anger among the staff.
engender;engendrer / susciter;to make something exist (feeling or situation);Confidence in the leader can engender loyalty in the team.
engender;engendrer / susciter;to make something exist (feeling or situation);Poverty can often engender crime in neglected neighborhoods.
engross;absorber / captiver;to be so interesting as to absorb someone completely;She was so engrossed in her book that she missed her train stop.
engross;absorber / captiver;to be so interesting as to absorb someone completely;The video game is designed to engross players for hours at a time.
engross;absorber / captiver;to be so interesting as to absorb someone completely;The lecture was fascinating and engrossed the entire audience.
manage;gérer / arriver à;to succeed in doing something OR to control;I don't know how you manage to work full-time and raise three kids.
manage;gérer / arriver à;to succeed in doing something OR to control;He was hired to manage the finance department of the company.
manage;gérer / arriver à;to succeed in doing something OR to control;Can you manage this heavy box on your own, or do you need help?
mortify;mortifier / humilier;to make someone very embarrassed;She was mortified when she realized she had her shirt on inside out.
mortify;mortifier / humilier;to make someone very embarrassed;It would mortify me to have to sing in front of a large crowd.
mortify;mortifier / humilier;to make someone very embarrassed;His parents were mortified by his bad behavior at the wedding.
obtain;obtenir;to get something;You need to obtain a permit from the city before you can build a garage.
obtain;obtenir;to get something;Police are trying to obtain surveillance footage from the store.
obtain;obtenir;to get something;It is difficult to obtain fresh vegetables in this remote area.
reject;refuser / rejeter;to refuse to accept, believe or use;The bank had to reject his loan application due to his poor credit score.
reject;refuser / rejeter;to refuse to accept, believe or use;Her body began to reject the kidney transplant shortly after the surgery.
reject;refuser / rejeter;to refuse to accept, believe or use;He rejected the idea that money brings happiness.
justify;justifier / légitimer;to be a good reason for;How can you justify spending so much money on a car?
justify;justifier / légitimer;to be a good reason for;The end does not always justify the means.
justify;justifier / légitimer;to be a good reason for;He tried to justify his lateness by blaming the traffic.
accolade;distinction / éloge / accolade;an award or privilege granted for a person's good actions;The restaurant received the highest accolade: three Michelin stars.
accolade;distinction / éloge / accolade;an award or privilege granted for a person's good actions;She has won many accolades for her acting, including an Oscar.
accolade;distinction / éloge / accolade;an award or privilege granted for a person's good actions;Despite the critical accolades, the movie did not make much money.
amenity;aménagement / équipement;a place or feature designed to make life more pleasant;The hotel offers many amenities, including a pool, a gym, and free Wi-Fi.
amenity;aménagement / équipement;a place or feature designed to make life more pleasant;The apartment is small, but it is close to local amenities like shops and parks.
amenity;aménagement / équipement;a place or feature designed to make life more pleasant;Running water is a basic amenity that everyone should have access to.
flaw;défaut / imperfection / faille;a fault, mistake or weakness;There is a major flaw in your logic that makes the whole argument invalid.
flaw;défaut / imperfection / faille;a fault, mistake or weakness;This diamond is expensive because it does not have a single visible flaw.
flaw;défaut / imperfection / faille;a fault, mistake or weakness;His jealousy is a character flaw that ruined his marriage.
harvest;récolte / moisson;the cutting, picking or collecting crops;The farmers are working late because the wheat harvest has begun.
harvest;récolte / moisson;the cutting, picking or collecting crops;It was a bad year for the grape harvest due to the heavy rains.
harvest;récolte / moisson;the cutting, picking or collecting crops;We must harvest the apples before the first frost arrives.
idol;idole;a person who is much admired and respected;Elvis Presley was a massive idol for teenagers in the 1950s.
idol;idole;a person who is much admired and respected;As a young footballer, his idol was always Lionel Messi.
idol;idole;a person who is much admired and respected;The ancient temple contained a gold idol that people worshipped.
particle;particule;an extremely small amount of something;Physics studies how subatomic particles interact with each other.
particle;particule;an extremely small amount of something;There isn't a single particle of truth in the rumors spreading about him.
particle;particule;an extremely small amount of something; Dust particles in the air can trigger asthma attacks.
